FID,num,campusID,name,address,uid,city,type,district,lngN,latN,area
0,69,4132014436.000000000000000,江苏第二师范学院(石湫校区),江苏省南京市石湫街道新河西路6号,fc0ab193bbf2317557bfff81,南京市,本科,溧水区,118.897348979000000,31.628845621400000,63.5816002
1,67,4132013905.000000000000000,南京工业大学浦江学院,江苏省南京市溧水区石湫街道励学路9号,a1dc1f63f496d9dfe4073847,南京市,本科,溧水区,118.896885765999997,31.638720765999999,44.3237991
2,65,4132013655.000000000000000,南京航空航天大学金城学院,南京市江宁区航金大道88号,70af88e2901d54e6bf48428e,南京市,本科,江宁区,118.880323537999999,31.703509900099998,45.1750984
3,93,4132014001.000000000000000,南京城市职业学院(溧水校区),江苏省南京市溧水区高山路1号,0cf709e87cca5662a9059da3,南京市,专科,溧水区,118.996823395999996,31.718637409500001,32.3432007
4,5,4132010286.000000000000000,东南大学(九龙湖校区),南京市江宁区东南大学路2号,3aeb5308f378f01e4f3a5907,南京市,本科,江宁区,118.815935467000003,31.889218954099999,250.6690063
5,56,4132011460.000000000000000,南京晓庄学院(方山校区),江苏省南京市江宁区弘景大道3601号,5e6c6e787bc5a45debe582a3,南京市,本科,江宁区,118.896794069999999,31.895068835200000,86.6654968
6,61,4132013573.000000000000000,金陵科技学院(江宁校区),江苏省南京市江宁区弘景大道99号,02977f85150aef5528201a9b,南京市,本科,江宁区,118.894814155000006,31.906122261899998,81.7931976
7,80,4132012804.000000000000000,南京交通职业技术学院,江苏省南京市江宁区龙眠大道629号,50fb64ff1b88cf5de9f8537b,南京市,专科,江宁区,118.907159562000004,31.914373652100000,55.6963005
8,16,4132010294.000000000000000,河海大学(江宁校区),江苏省南京市江宁区佛城西路8号,a404432faa3c773e3be4a6b5,南京市,本科,江宁区,118.780717941999995,31.916529165200000,58.5155983
9,77,4132012679.000000000000000,江苏海事职业技术学院(江宁校区),格致路309号,2ea792ee7313647f940319a6,南京市,专科,江宁区,118.902546802000003,31.920471957200000,81.0926971
10,51,4132011276.000000000000000,南京工程学院(江宁校区),江苏省南京市江宁区弘景大道1号,45dcd841566152c058f6be32,南京市,本科,江宁区,118.877012641999997,31.924980388500000,170.3220062
