FID,num,序号,学校名,学校标,主管部,所在地,办学层,备注,campusName,uid,area,lngN,latN,面积,lngC,latC
0,2668,2137,海南热带海洋学院,4146011100.000000000000000,海南省,三亚市,本科,公办,海南热带海洋学院,dcf78353965ab0259a005049,吉阳区,109.530290300000004,18.312079059999999,39.4972992,109.530169475999998,18.312081159900000
1,2680,2142,三亚学院,4146013892.000000000000000,海南省教育厅,三亚市,本科,民办,三亚学院(北校区),88d672dcc14c33c995f08ca1,吉阳区,109.555490399999996,18.338578779999999,110.4359970,109.555827476000005,18.335827578600000
2,2667,2136,海南大学,4146010589.000000000000000,海南省,海口市,本科,公办,海南大学(观澜湖校区),ee1714739e75c24f047ce8d2,龙华区,110.332358400000004,19.923071910000001,49.5545006,110.333024168999998,19.922584510099998
3,2674,2140,海口经济学院,4146012308.000000000000000,海南省教育厅,海口市,本科,民办,海口经济学院,f81bb8f97ebe13c41b94c6a3,美兰区,110.484295799999998,19.966342480000002,87.2870026,110.484919434000005,19.965956626800001
4,2676,2141,琼台师范学院,4146013811.000000000000000,海南省,海口市,本科,公办,琼台师范学院(桂林洋校区),558afb5a781acf33210262a1,美兰区,110.512487600000000,19.976533289999999,68.8327026,110.512469459000002,19.976537813499998
5,2671,2139,海南医学院,4146011810.000000000000000,海南省,海口市,本科,公办,海南医学院(城西校区),8fa14fc3f165db6ef7eafc61,龙华区,110.329706700000003,19.984170010000000,31.0489998,110.330005030999999,19.983264244000001
6,2670,2138,海南师范大学,4146011658.000000000000000,海南省,海口市,本科,公办,海南师范大学(桂林洋校区),2ff04c304bd5a7c931870a8b,美兰区,110.510896000000002,19.984518540000000,93.7254028,110.507641203999995,19.982576114899999
7,2665,2136,海南大学,4146010589.000000000000000,海南省,海口市,本科,公办,海南大学(海甸校区),5c940559b6d54398d5b74efd,美兰区,110.324616899999995,20.058907130000001,132.2579956,110.324094250000002,20.059412391399999
8,2404,1896,广东海洋大学,4144010566.000000000000000,广东省,湛江市,本科,公办,广东海洋大学,15e1e85e462ad4a159109391,麻章区,110.296391999999997,21.153698580000000,139.7500000,110.296029958999995,21.153831689600000
9,2518,1935,湛江科技学院,4144012622.000000000000000,广东省教育厅,湛江市,本科,民办,湛江科技学院(新湖校区),efbf89f8d79dc57bcac3db63,麻章区,110.239887400000001,21.167268390000000,82.0418015,110.239180477000005,21.169501957600001
