FID,num,uni_num,序号,学校名,学校标,主管部,所在地,办学层,备注,campusName,lng,lat,uid,area,lngN,latN,面积
0,2668,975,2137,海南热带海洋学院,4146011100.000000000000000,海南省,三亚市,本科,公办,海南热带海洋学院,109.540805000000006,18.316374000000000,dcf78353965ab0259a005049,吉阳区,109.530290300000004,18.312079059999999,39.4972992
1,2678,980,2142,三亚学院,4146013892.000000000000000,海南省教育厅,三亚市,本科,民办,三亚学院(南校区),109.563237000000001,18.331340999999998,00786b069070b30747572607,吉阳区,109.552822199999994,18.326854000000001,13.3778000
2,2680,980,2142,三亚学院,4146013892.000000000000000,海南省教育厅,三亚市,本科,民办,三亚学院(北校区),109.565900999999997,18.343062000000000,88d672dcc14c33c995f08ca1,吉阳区,109.555490399999996,18.338578779999999,110.4359970
3,2682,981,2143,海南科技职业大学,4146014172.000000000000000,海南省教育厅,海口市,本科,民办,海南科技职业大学(云龙校区),110.468530000000001,19.863900000000001,af060f5c9672af580482c2f4,琼山区,110.457549900000004,19.860116919999999,18.6357994
4,2667,974,2136,海南大学,4146010589.000000000000000,海南省,海口市,本科,公办,海南大学(观澜湖校区),110.343286000000006,19.926791000000001,ee1714739e75c24f047ce8d2,龙华区,110.332358400000004,19.923071910000001,49.5545006
5,2674,978,2140,海口经济学院,4146012308.000000000000000,海南省教育厅,海口市,本科,民办,海口经济学院,110.495174000000006,19.970276999999999,f81bb8f97ebe13c41b94c6a3,美兰区,110.484295799999998,19.966342480000002,87.2870026
6,2676,979,2141,琼台师范学院,4146013811.000000000000000,海南省,海口市,本科,公办,琼台师范学院(桂林洋校区),110.523217000000002,19.980723000000001,558afb5a781acf33210262a1,美兰区,110.512487600000000,19.976533289999999,68.8327026
7,2671,977,2139,海南医学院,4146011810.000000000000000,海南省,海口市,本科,公办,海南医学院(城西校区),110.340626999999998,19.987843999999999,8fa14fc3f165db6ef7eafc61,龙华区,110.329706700000003,19.984170010000000,31.0489998
8,2670,976,2138,海南师范大学,4146011658.000000000000000,海南省,海口市,本科,公办,海南师范大学(桂林洋校区),110.521623000000005,19.988699000000000,2ff04c304bd5a7c931870a8b,美兰区,110.510896000000002,19.984518540000000,93.7254028
9,2669,976,2138,海南师范大学,4146011658.000000000000000,海南省,海口市,本科,公办,海南师范大学(南校区),110.350948000000002,20.002057000000001,5b537d60c0512b88d92f283d,琼山区,110.340015600000001,19.998384300000001,20.0221004
10,2677,979,2141,琼台师范学院,4146013811.000000000000000,海南省,海口市,本科,公办,琼台师范学院,110.364110999999994,20.004460000000002,3e9d4ac47b358437081cc7e8,琼山区,110.353174499999994,20.000644120000000,2.5587399
11,2673,977,2139,海南医学院,4146011810.000000000000000,海南省,海口市,本科,公办,海南医学院宿舍区,110.339326999999997,20.036349999999999,68f00f573581d1820782c2a7,龙华区,110.328415899999996,20.032712629999999,1.0254900
12,2681,981,2143,海南科技职业大学,4146014172.000000000000000,海南省教育厅,海口市,本科,民办,海南科技职业大学(美兰校区),110.416143000000005,20.048864999999999,e56bf5e368b315390682c282,美兰区,110.405211600000001,20.044546740000001,15.4691000
13,2665,974,2136,海南大学,4146010589.000000000000000,海南省,海口市,本科,公办,海南大学(海甸校区),110.335539999999995,20.062550000000002,5c940559b6d54398d5b74efd,美兰区,110.324616899999995,20.058907130000001,132.2579956
14,2404,874,1896,广东海洋大学,4144010566.000000000000000,广东省,湛江市,本科,公办,广东海洋大学,110.307238999999996,21.157361999999999,15e1e85e462ad4a159109391,麻章区,110.296391999999997,21.153698580000000,139.7500000
15,2518,913,1935,湛江科技学院,4144012622.000000000000000,广东省教育厅,湛江市,本科,民办,湛江科技学院(新湖校区),110.250731000000002,21.170642000000001,efbf89f8d79dc57bcac3db63,麻章区,110.239887400000001,21.167268390000000,82.0418015
16,2406,874,1896,广东海洋大学,4144010566.000000000000000,广东省,湛江市,本科,公办,广东海洋大学(霞山校区),110.417186999999998,21.204720999999999,a1af15b83a42625f97ec8477,霞山区,110.406213699999995,21.200789470000000,4.9389300
17,2412,876,1898,广东医科大学,4144010571.000000000000000,广东省,湛江市,本科,公办,广东医科大学(湛江校区),110.416644000000005,21.211313000000001,5ec30a5a159f58c1b05c6a73,霞山区,110.405674099999999,21.207376960000001,14.1111002
18,2405,874,1896,广东海洋大学,4144010566.000000000000000,广东省,湛江市,本科,公办,广东海洋大学(海滨校区),110.421442999999996,21.227861000000001,fd13a3f2cfe0bff9b0077d93,霞山区,110.410459200000005,21.223976239999999,11.1709995
19,2433,883,1905,岭南师范学院,4144010579.000000000000000,广东省,湛江市,本科,公办,岭南师范学院(寸金校区),110.353396000000004,21.275264000000000,4b88f6f7a934f87d3617dc58,赤坎区,110.342355100000006,21.271980830000000,63.1996002
20,2407,874,1896,广东海洋大学,4144010566.000000000000000,广东省,湛江市,本科,公办,广东海洋大学寸金学院(麻章校区),110.343140000000005,21.292676000000000,8d96925c4a1fbf46c0f1cf92,麻章区,110.332124699999994,21.289430140000000,29.3073006
21,2644,961,2076,北海艺术设计学院,4145013524.000000000000000,广西壮族自治区教育厅,北海市,本科,民办,北海艺术设计学院,109.153503999999998,21.455058000000001,c20b12875d0d5845f5c59cd1,银海区,109.142689500000003,21.451777820000000,29.0347004
22,2487,900,1922,广东石油化工学院,4144011656.000000000000000,广东省,茂名市,本科,公办,广东石油化工学院(光华校区),110.929083000000006,21.670866000000000,7915797c7c2c39cd0d0a70a4,茂南区,110.918048999999996,21.667854810000001,2.8782899
23,2486,900,1922,广东石油化工学院,4144011656.000000000000000,广东省,茂名市,本科,公办,广东石油化工学院,110.929276999999999,21.685017999999999,42679a8690141f062ab97c79,茂南区,110.918252899999999,21.682016800000000,30.7646008
24,2635,956,2071,北部湾大学,4145011607.000000000000000,广西壮族自治区,钦州市,本科,公办,北部湾大学,108.622482000000005,21.904202000000002,5c78e851c4dcb68e843304b4,钦南区,108.612340700000004,21.900884640000001,118.1200027
25,2532,921,1943,珠海科技学院,4144013684.000000000000000,广东省教育厅,珠海市,本科,民办,珠海科技学院,113.411619999999999,22.056773000000000,11aa09c5e3aa76f4f03cba38,金湾区,113.399750699999998,22.053023169999999,182.7449951
26,2530,920,1942,北京理工大学珠海学院,4144013675.000000000000000,广东省教育厅,珠海市,本科,民办,北京理工大学珠海学院,113.547319000000002,22.370705999999998,0e40ef3a52f36380bbbd6398,香洲区,113.535698199999999,22.367509550000001,200.5240021
27,2660,972,2087,广西城市职业大学,4145013920.000000000000000,广西壮族自治区教育厅,崇左市,本科,民办,广西城市职业大学(崇左校区),107.402417999999997,22.373266000000001,e77e0093dadaf3950aa8d409,江州区,107.391779799999995,22.369671250000000,69.5288010
28,2603,946,2061,广西民族师范学院,4145010604.000000000000000,广西壮族自治区,崇左市,本科,公办,广西民族师范学院,107.402224000000004,22.389171999999999,cad4e263cf597844d8d89132,江州区,107.391600400000002,22.385583730000000,69.5326996
29,2484,899,1921,电子科技大学中山学院,4144011545.000000000000000,广东省教育厅,中山市,本科,民办,电子科技大学中山学院,113.396955000000005,22.533684000000001,4cbbf2cb5dac54a1c26c143e, ,113.385054600000004,22.530082470000000,39.3858986
30,2455,890,1912,深圳大学,4144010590.000000000000000,广东省,深圳市,本科,公办,深圳大学(粤海校区),113.942617999999996,22.537872000000000,410fd097f30195a083a00c3f,南山区,113.931206799999998,22.535245230000001,140.4160004
31,2652,966,2081,南宁师范大学师园学院,4145013642.000000000000000,广西壮族自治区教育厅,南宁市,本科,民办,南宁师范大学师园学院,108.242580000000004,22.594170999999999,4ef2308a96edc17dc26c14de,江南区,108.232214900000002,22.590747340000000,19.7847004
32,2661,972,2087,广西城市职业大学,4145013920.000000000000000,广西壮族自治区教育厅,崇左市,本科,民办,广西城市职业大学(空港校区),107.930421999999993,22.593776999999999,d0022d9a536965367ab55c56,扶绥县,107.920057499999999,22.591073219999998,33.2846985
33,2475,897,1919,五邑大学,4144011349.000000000000000,广东省,江门市,本科,公办,五邑大学,113.091300000000004,22.603529999999999,61c819c4463eef77c03644d3,蓬江区,113.079286100000004,22.600453989999998,56.4491005
34,2456,890,1912,深圳大学,4144010590.000000000000000,广东省,深圳市,本科,公办,深圳大学(丽湖校区),113.999539999999996,22.602777000000000,3bb662cc6d6515c0fda77821,南山区,113.988116500000004,22.599351020000000,59.2267990
35,2556,930,1952,南方科技大学,4144014325.000000000000000,广东省,深圳市,本科,公办,南方科技大学,114.005913000000007,22.603943999999998,72b66886812878a6a11de9b0,南山区,113.994478400000006,22.600476550000000,113.7139969
36,2610,948,2063,玉林师范学院,4145010606.000000000000000,广西壮族自治区,玉林市,本科,公办,玉林师范学院(西校区),110.167294999999996,22.646830999999999,f03f645c7e6cf82a09a8d400,玉州区,110.156365100000002,22.643262839999998,16.1065998
37,2559,934,1956,深圳北理莫斯科大学,4144016409.000000000000000,广东省,深圳市,本科,中外合作办学,深圳北理莫斯科大学,114.212304000000003,22.685234999999999,86874d596dda58762b3a9f08,龙岗区,114.200881699999996,22.682111620000001,24.9169998
38,2609,948,2063,玉林师范学院,4145010606.000000000000000,广西壮族自治区,玉林市,本科,公办,玉林师范学院(东校区),110.202569999999994,22.684207000000001,41572e002efda3b7b55f1ebd,玉州区,110.191601599999998,22.681126370000001,94.5345993
39,2633,955,2070,南宁学院,4145011549.000000000000000,广西壮族自治区教育厅,南宁市,本科,民办,南宁学院,108.459619000000004,22.755925999999999,8e3949ba741582c8ebe5821a,邕宁区,108.449097699999996,22.752605760000002,62.8773994
40,3021,1100,2445,普洱学院,4153010685.000000000000000,云南省,普洱市,本科,公办,普洱学院,101.005893999999998,22.774453999999999,e41a87f3e6d41719f603b81e,思茅区,100.998086000000001,22.771537080000002,26.1068993
41,2584,940,2055,广西医科大学,4145010598.000000000000000,广西壮族自治区,南宁市,本科,公办,广西医科大学护理学院,108.348374000000007,22.803495999999999,31dbedd7a362e95a1e1d11ce,青秀区,108.337894399999996,22.800046840000000,4.6956701
42,2655,967,2082,广西中医药大学赛恩斯新医药学院,4145013643.000000000000000,广西壮族自治区教育厅,南宁市,本科,民办,广西中医药大学赛恩斯新医药学院,108.513391999999996,22.802378000000001,6982b9c171b0787fa3acc437,青秀区,108.503014800000003,22.799186639999999,4.5793800
43,2582,940,2055,广西医科大学,4145010598.000000000000000,广西壮族自治区,南宁市,本科,公办,广西医科大学,108.357298999999998,22.803457000000002,5c2dc21d47f1be076ec02c89,青秀区,108.346823499999999,22.799892839999998,38.6785011
44,2642,960,2075,广西警察学院,4145013520.000000000000000,广西壮族自治区,南宁市,本科,公办,广西警察学院(仙葫校区),108.450964999999997,22.806660000000001,bcaebff80cc42529c9e33c26,青秀区,108.440382900000003,22.803450689999998,26.7187996
45,2588,942,2057,广西中医药大学,4145010600.000000000000000,广西壮族自治区,南宁市,本科,公办,广西中医药大学(仙葫校区),108.510390999999998,22.805392999999999,65db9558d53604f0a3acc4b0,青秀区,108.500011599999993,22.802141299999999,44.7929993
46,2658,970,2085,广西外国语学院,4145013830.000000000000000,广西壮族自治区教育厅,南宁市,本科,民办,广西外国语学院,108.522544999999994,22.806228000000001,2f27f5321f6e9215f6c59c8f,青秀区,108.512159699999998,22.803215850000001,41.6086998
