序号,学校名称,学校标识码,主管部门,所在地,办学层次,备注
68,北京工业职业技术学院,4111010853,北京市,北京市,专科,
69,北京信息职业技术学院,4111010857,北京市,北京市,专科,
70,北京电子科技职业学院,4111010858,北京市,北京市,专科,
71,北京京北职业技术学院,4111011090,北京市,北京市,专科,
72,北京交通职业技术学院,4111011092,北京市,北京市,专科,
73,北京青年政治学院,4111011626,北京市,北京市,专科,
74,北京农业职业学院,4111012448,北京市,北京市,专科,
75,北京政法职业学院,4111012451,北京市,北京市,专科,
76,北京财贸职业学院,4111012561,北京市,北京市,专科,
77,北京北大方正软件职业技术学院,4111012564,北京市教委,北京市,专科,民办
78,北京经贸职业学院,4111012565,北京市教委,北京市,专科,民办
79,北京经济技术职业学院,4111012566,北京市教委,北京市,专科,民办
80,北京戏曲艺术职业学院,4111012567,北京市,北京市,专科,
81,北京汇佳职业学院,4111012568,北京市教委,北京市,专科,民办
82,北京科技经营管理学院,4111012733,北京市教委,北京市,专科,民办
83,北京科技职业学院,4111013703,北京市教委,北京市,专科,民办
84,北京培黎职业学院,4111013728,北京市教委,北京市,专科,民办
85,北京经济管理职业学院,4111014073,北京市,北京市,专科,
86,北京劳动保障职业学院,4111014075,北京市,北京市,专科,
87,北京社会管理职业学院,4111014139,北京市,北京市,专科,
88,北京艺术传媒职业学院,4111014140,北京市教委,北京市,专科,民办
89,北京体育职业学院,4111014215,北京市,北京市,专科,
90,北京交通运输职业学院,4111014279,北京市,北京市,专科,
91,北京卫生职业学院,4111014395,北京市,北京市,专科,
92,北京网络职业学院,4111014588,北京市教委,北京市,专科,民办
123,天津市职业大学,4112011032,天津市,天津市,专科,
124,天津滨海职业学院,4112012484,天津市,天津市,专科,
125,天津工程职业技术学院,4112012487,天津市,天津市,专科,
126,天津渤海职业技术学院,4112012719,天津市,天津市,专科,
127,天津电子信息职业技术学院,4112012720,天津市,天津市,专科,
128,天津机电职业技术学院,4112012721,天津市,天津市,专科,
129,天津现代职业技术学院,4112012722,天津市,天津市,专科,
130,天津公安警官职业学院,4112012723,天津市,天津市,专科,
131,天津轻工职业技术学院,4112012732,天津市,天津市,专科,
132,天津商务职业学院,4112012788,天津市,天津市,专科,
133,天津国土资源和房屋职业学院,4112012803,天津市,天津市,专科,
134,天津医学高等专科学校,4112012880,天津市,天津市,专科,
135,天津开发区职业技术学院,4112012881,天津市,天津市,专科,
136,天津艺术职业学院,4112012882,天津市,天津市,专科,
137,天津交通职业学院,4112012883,天津市,天津市,专科,
138,天津工业职业学院,4112013700,天津市,天津市,专科,
139,天津石油职业技术学院,4112013701,天津市,天津市,专科,
140,天津城市职业学院,4112013702,天津市,天津市,专科,
141,天津铁道职业技术学院,4112013863,天津市,天津市,专科,
142,天津工艺美术职业学院,4112013911,天津市,天津市,专科,
143,天津城市建设管理职业技术学院,4112014020,天津市,天津市,专科,
144,天津生物工程职业技术学院,4112014021,天津市,天津市,专科,
145,天津海运职业学院,4112014022,天津市,天津市,专科,
146,天津广播影视职业学院,4112014102,天津市,天津市,专科,
147,天津体育职业学院,4112014599,天津市,天津市,专科,
148,天津滨海汽车工程职业学院,4112014600,天津市教委,天津市,专科,民办
210,邯郸职业技术学院,4113011034,河北省,邯郸市,专科,
211,石家庄职业技术学院,4113011238,河北省,石家庄市,专科,
212,张家口职业技术学院,4113011423,河北省,张家口市,专科,
213,河北软件职业技术学院,4113012352,河北省,保定市,专科,
214,河北石油职业技术学院,4113012367,河北省,廊坊市,专科,
215,河北建材职业技术学院,4113012389,河北省,秦皇岛市,专科,
216,河北政法职业学院,4113012408,河北省,石家庄市,专科,
217,沧州职业技术学院,4113012415,河北省,沧州市,专科,
218,河北能源职业技术学院,4113012418,河北省,唐山市,专科,
219,石家庄铁路职业技术学院,4113012424,河北省,石家庄市,专科,
220,保定职业技术学院,4113012543,河北省,保定市,专科,
221,秦皇岛职业技术学院,4113012773,河北省,秦皇岛市,专科,
222,石家庄工程职业学院,4113012782,河北省教育厅,石家庄市,专科,民办
223,石家庄城市经济职业学院,4113012783,河北省教育厅,石家庄市,专科,民办
224,唐山职业技术学院,4113012785,河北省,唐山市,专科,
225,衡水职业技术学院,4113012786,河北省,衡水市,专科,
226,唐山工业职业技术学院,4113012787,河北省,唐山市,专科,
