num,uni_num,序号,学校名称,学校标识码,主管部门,所在地,办学层次,备注,campusName,lng,lat,uid,area
0,0,68,北京工业职业技术学院,4111010853,北京市,北京市,专科,nan,北京工业职业技术学院,116.127485,39.96617,ccc8aa4ff57aef925cbe86c4,石景山区
1,1,69,北京信息职业技术学院,4111010857,北京市,北京市,专科,nan,北京信息职业技术学院,116.489231,39.978853,d6c5d9919f16e9eb31169be2,朝阳区
2,1,69,北京信息职业技术学院,4111010857,北京市,北京市,专科,nan,北京信息职业技术学院(东坝校区),116.557744,39.97167,50f7d146e1850ac472210b42,朝阳区
3,1,69,北京信息职业技术学院,4111010857,北京市,北京市,专科,nan,北京信息职业技术学院(南校区),116.318268,39.844632,af1ae56b4f4379124207c100,丰台区
4,1,69,北京信息职业技术学院,4111010857,北京市,北京市,专科,nan,北京信息职业技术学院成人教育昌平教学区,116.241956,40.218169,344c558cb5c8817ac356acde,昌平区
5,2,70,北京电子科技职业学院,4111010858,北京市,北京市,专科,nan,北京电子科技职业学院(亦庄校区),116.515349,39.776965,69fcd6df1fc9fa2fcb291598,大兴区
6,2,70,北京电子科技职业学院,4111010858,北京市,北京市,专科,nan,北京电子科技职业学院,116.446846,39.96465,cdef4edf80ac284e29d7ab92,朝阳区
7,2,70,北京电子科技职业学院,4111010858,北京市,北京市,专科,nan,北京电子科技职业学院,116.508071,39.965843,2ba9812a220514634054d7f2,朝阳区
8,2,70,北京电子科技职业学院,4111010858,北京市,北京市,专科,nan,北京电子科技职业学院基础学院,116.517732,39.776907,71ff9540f1afcfe911882408,大兴区
9,3,71,北京京北职业技术学院,4111011090,北京市,北京市,专科,nan,北京京北职业技术学院,116.647689,40.34552,954bb674c8ac1b901811d5b1,怀柔区
10,4,72,北京交通职业技术学院,4111011092,北京市,北京市,专科,nan,北京交通职业技术学院,116.210855,40.235024,3ad0cd993faf5c04bda822a8,昌平区
11,4,72,北京交通职业技术学院,4111011092,北京市,北京市,专科,nan,北京交通职业技术学院航空学院,116.210932,40.234871,670fa6c49d27f63e8936eea4,昌平区
12,5,73,北京青年政治学院,4111011626,北京市,北京市,专科,nan,北京青年政治学院(望京校区),116.481254,39.986828,88ff0a1dcb7f9402d4851f87,朝阳区
13,5,73,北京青年政治学院,4111011626,北京市,北京市,专科,nan,北京青年政治学院(东校区),116.588976,40.006089,789770d8b0d5aa2dc4f02508,朝阳区
14,6,74,北京农业职业学院,4111012448,北京市,北京市,专科,nan,北京农业职业学院,116.234899,39.77807,b7b222953272a624ad31e526,房山区
15,6,74,北京农业职业学院,4111012448,北京市,北京市,专科,nan,北京农业职业学院,116.232467,39.997083,b0d056f226b9367ecbc3dbb1,海淀区
16,6,74,北京农业职业学院,4111012448,北京市,北京市,专科,nan,北京农业职业学院国际教育学院,116.425896,40.038043,75d0881a018bc64d3a04b175,朝阳区
17,6,74,北京农业职业学院,4111012448,北京市,北京市,专科,nan,北京农业职业学院机电工程学院,116.314337,40.084126,e20e19fda6fea355deee8bd5,昌平区
18,6,74,北京农业职业学院,4111012448,北京市,北京市,专科,nan,北京农业职业学院,116.227755,39.777081,cf336bb1b267da940ab93a42,房山区
19,7,75,北京政法职业学院,4111012451,北京市,北京市,专科,nan,北京政法职业学院,116.375245,39.768263,ef8742c0a2678a2d081cc782,大兴区
20,7,75,北京政法职业学院,4111012451,北京市,北京市,专科,nan,北京政法职业学院,116.610915,39.924287,0b04231651d1f07433169b6c,朝阳区
21,7,75,北京政法职业学院,4111012451,北京市,北京市,专科,nan,北京政法职业学院-教学楼(大兴校区),116.375636,39.76804,7f80507a8403794077026987,大兴区
22,8,76,北京财贸职业学院,4111012561,北京市,北京市,专科,nan,北京财贸职业学院,116.654178,39.927147,850815e1e223e19b43e19264,通州区
23,8,76,北京财贸职业学院,4111012561,北京市,北京市,专科,nan,北京财贸职业学院(东城校区),116.430855,39.928422,afba48c70280e5448605bf07,东城区
24,8,76,北京财贸职业学院,4111012561,北京市,北京市,专科,nan,北京财贸职业学院,116.480723,39.934068,ab414b05ce415a829e95deee,朝阳区
