num,uni_num,序号,学校名称,学校标识码,主管部门,所在地,办学层次,备注,campusName,lng,lat,uid,area
0,0,1,北京大学,4111010001,教育部,北京市,本科,公办,北京大学,116.316833,39.998877,ddfd7c2d8db36cf39ee3219e,海淀区
1,0,1,北京大学,4111010001,教育部,北京市,本科,公办,北京大学(医学部),116.365211,39.990025,cbc2b7eb74bb180fb5147f02,海淀区
2,0,1,北京大学,4111010001,教育部,北京市,本科,公办,北京大学(昌平校区),116.196608,40.253428,a89895dca5dbaa3e2b3a9fd4,昌平区
3,0,1,北京大学,4111010001,教育部,北京市,本科,公办,北京大学(大兴校区),116.363768,39.764275,c2238e3a506733073686f403,大兴区
4,1,2,中国人民大学,4111010002,教育部,北京市,本科,公办,中国人民大学,116.319769,39.976546,055227e268dbedb34d776e28,海淀区
5,1,2,中国人民大学,4111010002,教育部,北京市,本科,公办,中国人民大学(北校区),116.317181,39.980738,527dbd031eb20b80cbe33c5a,海淀区
6,1,2,中国人民大学,4111010002,教育部,北京市,本科,公办,中国人民大学(老校区),116.421411,39.939907,0319516aabb22aac17c8f6fe,东城区
7,1,2,中国人民大学,4111010002,教育部,北京市,本科,公办,中国人民大学(通州校区),116.754083,39.912948,b467b4c5dec1faa6cb2915b1,通州区
8,1,2,中国人民大学,4111010002,教育部,北京市,本科,公办,中国人民大学,116.322402,39.975529,59d1d6c2cc2c0e1b5e17c387,海淀区
9,1,2,中国人民大学,4111010002,教育部,北京市,本科,公办,中国人民大学附属中学,116.320708,39.980479,0c9506efc63eeca8ae04575a,海淀区
10,2,3,清华大学,4111010003,教育部,北京市,本科,公办,清华大学,116.333374,40.009645,d8cf2f3ebd4968cfd618b7a7,海淀区
11,2,3,清华大学,4111010003,教育部,北京市,本科,公办,清华大学-美术学院,116.342774,40.005362,a2ba9815c104456f343a714c,海淀区
12,2,3,清华大学,4111010003,教育部,北京市,本科,公办,清华大学附属中学,116.325627,40.015918,bd5046e8b6a81241d72ce26f,海淀区
13,2,3,清华大学,4111010003,教育部,北京市,本科,公办,清华大学(医学部),116.421335,39.917312,e22cbe8e89eeb377fb2d618f,东城区
14,3,4,北京交通大学,4111010004,教育部,北京市,本科,公办,北京交通大学,116.34974,39.957902,5f5c486caf35b2ba97ec846c,海淀区
15,3,4,北京交通大学,4111010004,教育部,北京市,本科,公办,北京交通大学(东校区),116.353941,39.952935,23b5d6201cac7273220220af,海淀区
16,3,4,北京交通大学,4111010004,教育部,北京市,本科,公办,北京交通大学,116.349912,39.952274,465b1e31ad7b7a18306212a3,海淀区
17,3,4,北京交通大学,4111010004,教育部,北京市,本科,公办,北京交通大学,116.348955,39.956615,d5e477406266d67f4afd3f2a,海淀区
18,4,5,北京工业大学,4111010005,北京市,北京市,本科,公办,北京工业大学,116.488157,39.881251,8fd50150a1dc2bb63c9a5ed4,朝阳区
19,4,5,北京工业大学,4111010005,北京市,北京市,本科,公办,北京工业大学(通州校区),116.675151,39.93553,d157b9881ad9098270455ba4,通州区
20,4,5,北京工业大学,4111010005,北京市,北京市,本科,公办,北京工业大学耿丹学院,116.658646,40.221871,d1469ee7b3614a628533048b,顺义区
21,4,5,北京工业大学,4111010005,北京市,北京市,本科,公办,北京工业大学,116.483837,39.883546,15d949662d127e18a10464af,朝阳区
22,4,5,北京工业大学,4111010005,北京市,北京市,本科,公办,北京工业大学,116.484004,39.883923,e7aa13e6b1c675dbdb131833,朝阳区
23,5,6,北京航空航天大学,4111010006,工业和信息化部,北京市,本科,公办,北京航空航天大学,116.354447,39.991858,a599ab02adf1c3923ce23157,海淀区
24,5,6,北京航空航天大学,4111010006,工业和信息化部,北京市,本科,公办,北京航空航天大学(沙河校区),116.276079,40.16096,d420fc382fdc7be9f4eafc23,昌平区
25,5,6,北京航空航天大学,4111010006,工业和信息化部,北京市,本科,公办,北京航空航天大学,116.360357,39.988475,855dd4613be21a321811d5ef,海淀区
