Unnamed: 0,num,uni_num,序号,学校名称,学校标识码,主管部门,所在地,办学层次,备注,campusName,lng,lat,uid,area,get
0,0,0,1,北京大学,4111010001,教育部,北京市,本科,公办,北京大学,116.316833,39.998877,ddfd7c2d8db36cf39ee3219e,海淀区,1
1,1,0,1,北京大学,4111010001,教育部,北京市,本科,公办,北京大学(医学部),116.365211,39.990025,cbc2b7eb74bb180fb5147f02,海淀区,1
2,2,0,1,北京大学,4111010001,教育部,北京市,本科,公办,北京大学(昌平校区),116.196608,40.253428,a89895dca5dbaa3e2b3a9fd4,昌平区,1
3,3,0,1,北京大学,4111010001,教育部,北京市,本科,公办,北京大学(大兴校区),116.363768,39.764275,c2238e3a506733073686f403,大兴区,-1
4,4,1,2,中国人民大学,4111010002,教育部,北京市,本科,公办,中国人民大学,116.319769,39.976546,055227e268dbedb34d776e28,海淀区,1
5,5,1,2,中国人民大学,4111010002,教育部,北京市,本科,公办,中国人民大学(北校区),116.317181,39.980738,527dbd031eb20b80cbe33c5a,海淀区,1
6,6,1,2,中国人民大学,4111010002,教育部,北京市,本科,公办,中国人民大学(老校区),116.421411,39.939907,0319516aabb22aac17c8f6fe,东城区,-1
7,7,1,2,中国人民大学,4111010002,教育部,北京市,本科,公办,中国人民大学(通州校区),116.754083,39.912948,b467b4c5dec1faa6cb2915b1,通州区,1
8,8,1,2,中国人民大学,4111010002,教育部,北京市,本科,公办,中国人民大学,116.322402,39.975529,59d1d6c2cc2c0e1b5e17c387,海淀区,1
9,9,2,3,清华大学,4111010003,教育部,北京市,本科,公办,清华大学,116.333374,40.009645,d8cf2f3ebd4968cfd618b7a7,海淀区,1
10,10,2,3,清华大学,4111010003,教育部,北京市,本科,公办,清华大学(医学部),116.421335,39.917312,e22cbe8e89eeb377fb2d618f,东城区,-1
11,11,3,4,北京交通大学,4111010004,教育部,北京市,本科,公办,北京交通大学,116.34974,39.957902,5f5c486caf35b2ba97ec846c,海淀区,1
12,12,3,4,北京交通大学,4111010004,教育部,北京市,本科,公办,北京交通大学(东校区),116.353941,39.952935,23b5d6201cac7273220220af,海淀区,1
13,13,3,4,北京交通大学,4111010004,教育部,北京市,本科,公办,北京交通大学,116.349912,39.952274,465b1e31ad7b7a18306212a3,海淀区,-1
14,14,3,4,北京交通大学,4111010004,教育部,北京市,本科,公办,北京交通大学,116.348955,39.956615,d5e477406266d67f4afd3f2a,海淀区,1
15,15,4,5,北京工业大学,4111010005,北京市,北京市,本科,公办,北京工业大学,116.488157,39.881251,8fd50150a1dc2bb63c9a5ed4,朝阳区,1
16,16,4,5,北京工业大学,4111010005,北京市,北京市,本科,公办,北京工业大学(通州校区),116.675151,39.93553,d157b9881ad9098270455ba4,通州区,1
17,17,4,5,北京工业大学,4111010005,北京市,北京市,本科,公办,北京工业大学耿丹学院,116.658646,40.221871,d1469ee7b3614a628533048b,顺义区,1
18,18,4,5,北京工业大学,4111010005,北京市,北京市,本科,公办,北京工业大学,116.483837,39.883546,15d949662d127e18a10464af,朝阳区,-1
19,19,4,5,北京工业大学,4111010005,北京市,北京市,本科,公办,北京工业大学,116.484004,39.883923,e7aa13e6b1c675dbdb131833,朝阳区,-1
20,20,5,6,北京航空航天大学,4111010006,工业和信息化部,北京市,本科,公办,北京航空航天大学,116.354447,39.991858,a599ab02adf1c3923ce23157,海淀区,1
21,21,5,6,北京航空航天大学,4111010006,工业和信息化部,北京市,本科,公办,北京航空航天大学(沙河校区),116.276079,40.16096,d420fc382fdc7be9f4eafc23,昌平区,1
22,22,5,6,北京航空航天大学,4111010006,工业和信息化部,北京市,本科,公办,北京航空航天大学,116.360357,39.988475,855dd4613be21a321811d5ef,海淀区,-1
23,23,5,6,北京航空航天大学,4111010006,工业和信息化部,北京市,本科,公办,北京航空航天大学,116.360416,39.988559,72220ce9c0e44de05d0d0269,海淀区,-1
24,24,5,6,北京航空航天大学,4111010006,工业和信息化部,北京市,本科,公办,北京航空航天大学,116.360281,39.988584,5f8da20d332798fc6e476099,海淀区,-1
25,25,6,7,北京理工大学,4111010007,工业和信息化部,北京市,本科,公办,北京理工大学,116.322726,39.966659,679a1d3e81e0ad58ab0dd8ce,海淀区,1
26,26,6,7,北京理工大学,4111010007,工业和信息化部,北京市,本科,公办,北京理工大学(良乡校区),116.178278,39.738763,69fcd6df1f1ffa2fca2915c6,房山区,1
27,27,6,7,北京理工大学,4111010007,工业和信息化部,北京市,本科,公办,北京理工大学(房山分校),116.091905,39.727732,95f20f68d3ef302007026f0d,房山区,1
28,28,8,9,北方工业大学,4111010009,北京市,北京市,本科,公办,北方工业大学,116.21485,39.933738,c1c33d67d3aec4053486f4ae,石景山区,1
29,29,9,10,北京化工大学,4111010010,教育部,北京市,本科,公办,北京化工大学(东校区),116.427674,39.977968,d084dd8d97385276b817e751,朝阳区,1
30,30,9,10,北京化工大学,4111010010,教育部,北京市,本科,公办,北京化工大学(昌平新校区),116.157203,40.259982,1951f5c48b7d6057990050ac,昌平区,1
31,31,9,10,北京化工大学,4111010010,教育部,北京市,本科,公办,北京化工大学(西校区),116.310223,39.94827,399819ed774a2dc1077ce8b0,海淀区,1
32,32,10,11,北京工商大学,4111010011,北京市,北京市,本科,公办,北京工商大学(阜成路校区),116.32291,39.931808,4d122e853552ef0ff33cba44,海淀区,1
33,33,10,11,北京工商大学,4111010011,北京市,北京市,本科,公办,北京工商大学(良乡校区),116.173806,39.72606,e08498960ff9be235bf6be58,房山区,1
34,34,10,11,北京工商大学,4111010011,北京市,北京市,本科,公办,北京工商大学嘉华学院,116.738704,39.941772,e2c734e48975d15d15a19064,通州区,1
35,35,10,11,北京工商大学,4111010011,北京市,北京市,本科,公办,北京工商大学良乡校区(西区),116.17051,39.724782,11eccf8066150eb3bbbd6303,房山区,1
36,36,10,11,北京工商大学,4111010011,北京市,北京市,本科,公办,北京工商大学东区法学院,116.326915,39.930303,0901ce84ee093f59e3110340,海淀区,-1
37,37,10,11,北京工商大学,4111010011,北京市,北京市,本科,公办,北京工商大学良乡校区(东区),116.176146,39.724734,08364d68a873581ad12dd63f,房山区,1
38,38,10,11,北京工商大学,4111010011,北京市,北京市,本科,公办,北京工商大学(良乡),116.173147,39.724545,bfc194ccbf7fa3ec902ca3ec,房山区,-1
39,39,11,12,北京服装学院,4111010012,北京市,北京市,本科,公办,北京服装学院,116.437457,39.980234,fe3530327a511d0933621276,朝阳区,1
40,40,11,12,北京服装学院,4111010012,北京市,北京市,本科,公办,北京服装学院(北校区),116.432532,40.154817,ffd6d403cc4c36f217b54b9c,昌平区,1
41,41,11,12,北京服装学院,4111010012,北京市,北京市,本科,公办,北京服装学院(牡丹园校区),116.379518,39.987744,943fe06e34c529477c29bda2,海淀区,1
42,42,12,13,北京邮电大学,4111010013,教育部,北京市,本科,公办,北京邮电大学,116.364594,39.96725,d15c450f32f5b7317ec8767f,海淀区,1
43,43,12,13,北京邮电大学,4111010013,教育部,北京市,本科,公办,北京邮电大学(宏福校区),116.381659,40.114876,a3823d541f0ad05dc9fa5f41,昌平区,1
44,44,12,13,北京邮电大学,4111010013,教育部,北京市,本科,公办,北京邮电大学(沙河校区),116.295299,40.163661,bba40e7b796067514e776e24,昌平区,1
45,45,12,13,北京邮电大学,4111010013,教育部,北京市,本科,公办,北京邮电大学世纪学院,115.89997,40.377471,edabd8140827cac4774ff18c,延庆区,1
46,46,13,14,北京印刷学院,4111010015,北京市,北京市,本科,公办,北京印刷学院,116.33571,39.750402,1c410871dd1e9c791ef74dbf,大兴区,1
47,47,13,14,北京印刷学院,4111010015,北京市,北京市,本科,公办,北京印刷学院(康庄校区),116.319665,39.765338,93df0dc3f7c6a22b882fb5fa,大兴区,1
48,48,14,15,北京建筑大学,4111010016,北京市,北京市,本科,公办,北京建筑大学,116.347969,39.940685,2ff3894f694272ad6f3e1b00,西城区,1
49,49,14,15,北京建筑大学,4111010016,北京市,北京市,本科,公办,北京建筑大学(大兴校区),116.292894,39.754691,1c5e2928aaf259f742d63ea1,大兴区,1
50,50,15,16,北京石油化工学院,4111010017,北京市,北京市,本科,公办,北京石油化工学院,116.332327,39.753911,b38630159a794099cafa5fc4,大兴区,1
51,51,15,16,北京石油化工学院,4111010017,北京市,北京市,本科,公办,北京石油化工学院(康庄校区),116.319674,39.76316,edc42e74661e0c2514c8f603,大兴区,1
52,52,15,16,北京石油化工学院,4111010017,北京市,北京市,本科,公办,北京石油化工学院(燕山校区),115.951516,39.746033,74a2770163daffed31870ae1,房山区,1
53,53,16,17,北京电子科技学院,4111010018,中央办公厅,北京市,本科,公办,北京电子科技学院,116.286097,39.843926,563ace11583fd4c9d1f49eee,丰台区,1
54,54,17,18,中国农业大学,4111010019,教育部,北京市,本科,公办,中国农业大学(东校区),116.364154,40.010185,9abe8f3c93a5053552e5c5d1,海淀区,1
