FID,num,campusID,道路结构,name,address,uid,city,type,district,lngN,latN,area,Gn_area,GreenRatio,PlantRatio,AvrNdvi,MassDensity,shapeIndex,绿破碎,绿差异,GreenPatchAreaAvr,绿极大,交叉点,路密度,圈复杂,绿建邻近,建绿比,建植被,城市道路连接性,绿连接,均路长,建均衡,绿均衡
0,69,4132014436,复合型,江苏第二师范学院(石湫校区),江苏省南京市石湫街道新河西路6号,fc0ab193bbf2317557bfff81,南京市,本科,溧水区,118.897349,31.62884562,63.5816002,28.6811008,0.451091,22.6322002,8.3145199,0.194681,0.912732,7.2172999,0.306192665,0.13789,2.1496401,77.0662994,12.7903996,23,1.0281301,0.504073,0.0877984,2.8254399,0.98101,114.4833014,0.131753,0.185041
1,67,4132013905,环形,南京工业大学浦江学院,江苏省南京市溧水区石湫街道励学路9号,a1dc1f63f496d9dfe4073847,南京市,本科,溧水区,118.8968858,31.63872077,44.3237991,7.4573302,0.168247,24.1448002,10.9017,0.393903,0.773139,13.8119001,0.408099765,0.0717051,4.1690898,112.8059998,14.3217001,-12,27.0067005,0.183507,0.0959615,2.9263899,0.680429,171.565521,0.279616,0.223444
2,65,4132013655,环形,南京航空航天大学金城学院,南京市江宁区航金大道88号,70af88e2901d54e6bf48428e,南京市,本科,江宁区,118.8803235,31.7035099,45.1750984,21.3775997,0.473216,54.2988014,23.0321999,0.357004,0.72036,5.0520201,0.472729438,0.196125,2.54231,86.3307037,12.9590998,11,0.624112,0.543835,0.270184,1.66427,0.987303,104.4225448,0.233845,0.21936
3,93,4132014001,环形,南京城市职业学院(溧水校区),江苏省南京市溧水区高山路1号,0cf709e87cca5662a9059da3,南京市,专科,溧水区,118.9968234,31.71863741,32.3432007,10.1416998,0.313565,29.4463997,10.4973001,0.476888,0.882504,5.6203599,0.470434927,0.174856,3.08868,46.3776016,9.2186298,-2,3.69806,0.420357,0.126924,2.0429001,0.926584,249.2133793,0.268752,0.178796
4,5,4132010286,复合型,东南大学(九龙湖校区),南京市江宁区东南大学路2号,3aeb5308f378f01e4f3a5907,南京市,本科,江宁区,118.8159355,31.88921895,250.6690063,149.7389984,0.597357,52.2647018,24.5277004,0.204748,0.882244,4.2740998,2.616484355,0.233602,62.3515015,103.3239975,19.4433994,61,1.36912,0.538447,0.223358,8.2260904,0.977787,116.1323293,0.207089,0.262989
5,56,4132011460,环形,南京晓庄学院(方山校区),江苏省南京市江宁区弘景大道3601号,5e6c6e787bc5a45debe582a3,南京市,本科,江宁区,118.8967941,31.89506884,86.6654968,43.0224991,0.49642,48.1503983,21.0781002,0.3392,0.868349,5.2995501,0.606501307,0.187871,5.3048902,180.0019989,20.2371006,58,0.76671,0.586347,0.247369,2.58162,0.980523,68.9001607,0.24833,0.239387
6,61,4132013573,复合型,金陵科技学院(江宁校区),江苏省南京市江宁区弘景大道99号,02977f85150aef5528201a9b,南京市,本科,江宁区,118.8948142,31.90612226,81.7931976,37.2346001,0.455229,43.4309998,18.9256001,0.415477,0.772947,3.9479401,1.276357925,0.251585,14.9857998,80.6912994,12.9797001,28,2.80442,0.533727,0.218374,2.95139,0.942745,108.4771423,0.268979,0.26992
7,80,4132012804,分支型,南京交通职业技术学院,江苏省南京市江宁区龙眠大道629号,50fb64ff1b88cf5de9f8537b,南京市,专科,江宁区,118.9071596,31.91437365,55.6963005,24.6509991,0.442597,41.5144997,18.0067005,0.306498,0.68684,5.47645,0.494065059,0.181257,4.2739801,89.7725983,16.2889996,9,2.25635,0.486562,0.202604,4.0293102,0.977376,132.0406385,0.229308,0.197438
8,16,4132010294,复合型,河海大学(江宁校区),江苏省南京市江宁区佛城西路8号,a404432faa3c773e3be4a6b5,南京市,本科,江宁区,118.7807179,31.91652917,58.5155983,17.2486,0.294769,34.3277016,16.1116009,0.478524,0.881875,12.3487997,0.225879287,0.0806009,2.2436099,100.8280029,15.9687996,24,5.5121102,0.36939,0.179521,5.15591,0.976823,99.85454118,0.240825,0.18999
9,77,4132012679,环形,江苏海事职业技术学院(江宁校区),格致路309号,2ea792ee7313647f940319a6,南京市,专科,江宁区,118.9025468,31.92047196,81.0926971,36.8899002,0.45491,48.649601,21.2194996,0.202039,0.861202,4.3101201,0.500515493,0.230562,4.1445098,104.8180008,18.0727005,30,0.756252,0.538268,0.219919,4.2192202,0.951569,103.2050028,0.170712,0.195665
10,51,4132011276,环形,南京工程学院(江宁校区),江苏省南京市江宁区弘景大道1号,45dcd841566152c058f6be32,南京市,本科,江宁区,118.8770126,31.92498039,170.3220062,99.112999,0.581915,40.4370995,19.5690994,0.26955,0.908708,2.8250599,1.822873311,0.352715,22.8628998,62.8222008,11.6677999,45,1.31754,0.580077,0.232994,5.7624002,0.981834,116.3526164,0.238357,0.277626
11,71,4132012047,网格型,江苏经贸职业技术学院(江宁校区),江苏省南京市江宁区龙眠大道180号,50fb64ff430ab720e9f853f0,南京市,专科,江宁区,118.8798706,31.93367212,40.3499985,18.1023998,0.448634,40.3792,18.8530006,0.285824,0.833071,7.2918501,0.306874206,0.136108,2.2026701,109.0459976,14.4466,17,0.932402,0.517314,0.221924,7.1273999,0.993128,91.04250815,0.208861,0.170953
12,8,4132010287,环形,南京航空航天大学(将军路校区),南京市江宁区将军大道29号,7841f8835766c249adcb660c,南京市,本科,江宁区,118.7871327,31.94025713,108.1529999,42.4748993,0.39273,36.4720001,17.4787006,0.365029,0.752398,8.8051996,0.439052615,0.113266,5.7987299,163.6569977,18.2495003,49,1.65048,0.473446,0.20662,4.6244998,0.990005,68.14709708,0.246659,0.183429
13,25,4132010312,环形,南京医科大学(江宁校区),南京市江宁区龙眠大道101号,9ee392b8fdcdfd3fbabd63bf,南京市,本科,江宁区,118.8861435,31.9399964,82.672699,31.0461006,0.37553,47.1643982,20.2716007,0.298902,0.825771,6.2487702,0.487881175,0.159211,5.7197499,97.9766998,15.4989996,24,2.78145,0.451604,0.23757,7.99439,0.934787,104.1679188,0.248649,0.303913
14,23,4132010307,复合型,南京农业大学(江北校区),江苏省南京市浦口区滨江大道绿水湾湿地公园西700米,7754066737a3b35290114c94,南京市,本科,浦口区,118.6318432,32.01108947,124.0530014,2.62183,0.0211348,14.4035997,5.7961102,0.460116,0.881745,2.28848,0.337279725,0.374547,0.788023,32.2443008,7.7761798,-18,178.8580017,0.0174693,0.054228,8.9229898,0.116665,459.2436164,0.265796,0.167373
15,9,4132010288,网格型,南京理工大学,江苏省南京市玄武区孝陵卫街200号,6a54e04787fe6185c4f0251a,南京市,本科,玄武区,118.8515441,32.03066858,144.9920044,37.4847984,0.25853,31.2317009,16.4067993,0.515786,0.722605,20.5149994,0.220739968,0.0486815,3.9814501,213.8049927,21.6679993,96,6.49719,0.32537,0.201865,8.56464,0.933017,69.32503643,0.230997,0.170471
