FID,Join_Count,FID_,num,campusID,name,address,uid,city,type,district,lngN,latN,area,Gn_area,绿地率,植被率,平均ndvi,建筑密,轮廓紧,绿破碎,绿差异,绿均值,绿极大,交叉点,路密度,圈复杂,绿_建,建绿比,建植被,交叉密,绿连接,均路长,建均衡,绿均衡,contextGn,river,tree,bush,总,grass,多样性
0,20,0,69,4132014436.000000000000000,江苏第二师范学院(石湫校区),江苏省南京市石湫街道新河西路6号,fc0ab193bbf2317557bfff81,南京市,本科,溧水区,118.897348979000000,31.628845621400000,63.5816002,28.6811008,0.4510910,22.6322002,8.3145199,0.1946810,0.9127320,7.2172999,0.306192665499000,0.1378900,2.1496401,77.0662994,12.7903996,23,1.0281301,0.5040730,0.0877984,2.8254399,0.9810100,114.483301367999999,0.1317530,0.1850410,0.0598695,0.1834130,0.1569010,0.1262100,176220.0000000,0.5334790,1.1981100
1,17,1,67,4132013905.000000000000000,南京工业大学浦江学院,江苏省南京市溧水区石湫街道励学路9号,a1dc1f63f496d9dfe4073847,南京市,本科,溧水区,118.896885765999997,31.638720765999999,44.3237991,7.4573302,0.1682470,24.1448002,10.9017000,0.3939030,0.7731390,13.8119001,0.408099765352000,0.0717051,4.1690898,112.8059998,14.3217001,-12,27.0067005,0.1835070,0.0959615,2.9263899,0.6804290,171.565521015999991,0.2796160,0.2234440,0.0496993,0.0101831,0.3334880,0.2469520,108120.0000000,0.4093750,1.1239300
2,18,2,65,4132013655.000000000000000,南京航空航天大学金城学院,南京市江宁区航金大道88号,70af88e2901d54e6bf48428e,南京市,本科,江宁区,118.880323537999999,31.703509900099998,45.1750984,21.3775997,0.4732160,54.2988014,23.0321999,0.3570040,0.7203600,5.0520201,0.472729437652000,0.1961250,2.5423100,86.3307037,12.9590998,11,0.6241120,0.5438350,0.2701840,1.6642700,0.9873030,104.422544818000006,0.2338450,0.2193600,0.0657964,0.0843774,0.2079030,0.3296110,267900.0000000,0.3781100,1.2687200
3,15,3,93,4132014001.000000000000000,南京城市职业学院(溧水校区),江苏省南京市溧水区高山路1号,0cf709e87cca5662a9059da3,南京市,专科,溧水区,118.996823395999996,31.718637409500001,32.3432007,10.1416998,0.3135650,29.4463997,10.4973001,0.4768880,0.8825040,5.6203599,0.470434926894000,0.1748560,3.0886800,46.3776016,9.2186298,-2,3.6980600,0.4203570,0.1269240,2.0429001,0.9265840,249.213379341000007,0.2687520,0.1787960,0.0432190,0.1259310,0.1310690,0.1704850,108961.0000000,0.5725110,1.1481800
4,81,4,5,4132010286.000000000000000,东南大学(九龙湖校区),南京市江宁区东南大学路2号,3aeb5308f378f01e4f3a5907,南京市,本科,江宁区,118.815935467000003,31.889218954099999,250.6690063,149.7389984,0.5973570,52.2647018,24.5277004,0.2047480,0.8822440,4.2740998,2.616484355000000,0.2336020,62.3515015,103.3239975,19.4433994,61,1.3691200,0.5384470,0.2233580,8.2260904,0.9777870,116.132329278000000,0.2070890,0.2629890,0.1097000,0.1476990,0.2256050,0.4269250,1537150.0000000,0.1997700,1.3035300
5,33,5,56,4132011460.000000000000000,南京晓庄学院(方山校区),江苏省南京市江宁区弘景大道3601号,5e6c6e787bc5a45debe582a3,南京市,本科,江宁区,118.896794069999999,31.895068835200000,86.6654968,43.0224991,0.4964200,48.1503983,21.0781002,0.3392000,0.8683490,5.2995501,0.606501306687000,0.1878710,5.3048902,180.0019989,20.2371006,58,0.7667100,0.5863470,0.2473690,2.5816200,0.9805230,68.900160703200001,0.2483300,0.2393870,0.1715840,0.1248280,0.2068650,0.3561430,476818.0000000,0.3121630,1.3168200
6,31,6,61,4132013573.000000000000000,金陵科技学院(江宁校区),江苏省南京市江宁区弘景大道99号,02977f85150aef5528201a9b,南京市,本科,江宁区,118.894814155000006,31.906122261899998,81.7931976,37.2346001,0.4552290,43.4309998,18.9256001,0.4154770,0.7729470,3.9479401,1.276357924710000,0.2515850,14.9857998,80.6912994,12.9797001,28,2.8044200,0.5337270,0.2183740,2.9513900,0.9427450,108.477142298000004,0.2689790,0.2699200,0.0604932,0.1034660,0.2547050,0.2596250,396233.0000000,0.3822040,1.3007700
7,22,7,80,4132012804.000000000000000,南京交通职业技术学院,江苏省南京市江宁区龙眠大道629号,50fb64ff1b88cf5de9f8537b,南京市,专科,江宁区,118.907159562000004,31.914373652100000,55.6963005,24.6509991,0.4425970,41.5144997,18.0067005,0.3064980,0.6868400,5.4764500,0.494065058625000,0.1812570,4.2739801,89.7725983,16.2889996,9,2.2563500,0.4865620,0.2026040,4.0293102,0.9773760,132.040638519999987,0.2293080,0.1974380,0.0192520,0.1063600,0.2318790,0.2992760,258740.0000000,0.3624840,1.3061301
8,21,8,16,4132010294.000000000000000,河海大学(江宁校区),江苏省南京市江宁区佛城西路8号,a404432faa3c773e3be4a6b5,南京市,本科,江宁区,118.780717941999995,31.916529165200000,58.5155983,17.2486000,0.2947690,34.3277016,16.1116009,0.4785240,0.8818750,12.3487997,0.225879287201000,0.0806009,2.2436099,100.8280029,15.9687996,24,5.5121102,0.3693900,0.1795210,5.1559100,0.9768230,99.854541183899997,0.2408250,0.1899900,0.3006120,0.0577300,0.2303110,0.5152210,213177.0000000,0.1967390,1.1643600
9,30,9,77,4132012679.000000000000000,江苏海事职业技术学院(江宁校区),格致路309号,2ea792ee7313647f940319a6,南京市,专科,江宁区,118.902546802000003,31.920471957200000,81.0926971,36.8899002,0.4549100,48.6496010,21.2194996,0.2020390,0.8612020,4.3101201,0.500515493266000,0.2305620,4.1445098,104.8180008,18.0727005,30,0.7562520,0.5382680,0.2199190,4.2192202,0.9515690,103.205002796000002,0.1707120,0.1956650,0.0188443,0.0745846,0.2280330,0.3483490,426309.0000000,0.3490330,1.2654400
