,序号,学校名称,学校标识码,主管部门,所在地,办学层次,备注,countOfCity
0,68,北京工业职业技术学院,4111010853,北京市,北京市,专科,,25
1,69,北京信息职业技术学院,4111010857,北京市,北京市,专科,,25
2,70,北京电子科技职业学院,4111010858,北京市,北京市,专科,,25
3,71,北京京北职业技术学院,4111011090,北京市,北京市,专科,,25
4,72,北京交通职业技术学院,4111011092,北京市,北京市,专科,,25
5,73,北京青年政治学院,4111011626,北京市,北京市,专科,,25
6,74,北京农业职业学院,4111012448,北京市,北京市,专科,,25
7,75,北京政法职业学院,4111012451,北京市,北京市,专科,,25
8,76,北京财贸职业学院,4111012561,北京市,北京市,专科,,25
9,77,北京北大方正软件职业技术学院,4111012564,北京市教委,北京市,专科,民办,25
10,78,北京经贸职业学院,4111012565,北京市教委,北京市,专科,民办,25
11,79,北京经济技术职业学院,4111012566,北京市教委,北京市,专科,民办,25
12,80,北京戏曲艺术职业学院,4111012567,北京市,北京市,专科,,25
13,81,北京汇佳职业学院,4111012568,北京市教委,北京市,专科,民办,25
14,82,北京科技经营管理学院,4111012733,北京市教委,北京市,专科,民办,25
15,83,北京科技职业学院,4111013703,北京市教委,北京市,专科,民办,25
16,84,北京培黎职业学院,4111013728,北京市教委,北京市,专科,民办,25
17,85,北京经济管理职业学院,4111014073,北京市,北京市,专科,,25
18,86,北京劳动保障职业学院,4111014075,北京市,北京市,专科,,25
19,87,北京社会管理职业学院,4111014139,北京市,北京市,专科,,25
20,88,北京艺术传媒职业学院,4111014140,北京市教委,北京市,专科,民办,25
21,89,北京体育职业学院,4111014215,北京市,北京市,专科,,25
22,90,北京交通运输职业学院,4111014279,北京市,北京市,专科,,25
23,91,北京卫生职业学院,4111014395,北京市,北京市,专科,,25
24,92,北京网络职业学院,4111014588,北京市教委,北京市,专科,民办,25
25,123,天津市职业大学,4112011032,天津市,天津市,专科,,26
26,124,天津滨海职业学院,4112012484,天津市,天津市,专科,,26
27,125,天津工程职业技术学院,4112012487,天津市,天津市,专科,,26
28,126,天津渤海职业技术学院,4112012719,天津市,天津市,专科,,26
29,127,天津电子信息职业技术学院,4112012720,天津市,天津市,专科,,26
30,128,天津机电职业技术学院,4112012721,天津市,天津市,专科,,26
31,129,天津现代职业技术学院,4112012722,天津市,天津市,专科,,26
32,130,天津公安警官职业学院,4112012723,天津市,天津市,专科,,26
33,131,天津轻工职业技术学院,4112012732,天津市,天津市,专科,,26
34,132,天津商务职业学院,4112012788,天津市,天津市,专科,,26
35,133,天津国土资源和房屋职业学院,4112012803,天津市,天津市,专科,,26
36,134,天津医学高等专科学校,4112012880,天津市,天津市,专科,,26
37,135,天津开发区职业技术学院,4112012881,天津市,天津市,专科,,26
38,136,天津艺术职业学院,4112012882,天津市,天津市,专科,,26
39,137,天津交通职业学院,4112012883,天津市,天津市,专科,,26
40,138,天津工业职业学院,4112013700,天津市,天津市,专科,,26
41,139,天津石油职业技术学院,4112013701,天津市,天津市,专科,,26
42,140,天津城市职业学院,4112013702,天津市,天津市,专科,,26
43,141,天津铁道职业技术学院,4112013863,天津市,天津市,专科,,26
44,142,天津工艺美术职业学院,4112013911,天津市,天津市,专科,,26
45,143,天津城市建设管理职业技术学院,4112014020,天津市,天津市,专科,,26
46,144,天津生物工程职业技术学院,4112014021,天津市,天津市,专科,,26
47,145,天津海运职业学院,4112014022,天津市,天津市,专科,,26
48,146,天津广播影视职业学院,4112014102,天津市,天津市,专科,,26
49,147,天津体育职业学院,4112014599,天津市,天津市,专科,,26
50,148,天津滨海汽车工程职业学院,4112014600,天津市教委,天津市,专科,民办,26
51,210,邯郸职业技术学院,4113011034,河北省,邯郸市,专科,,4
