,序号,学校名称,学校标识码,主管部门,所在地,办学层次,办学方式,countOfCity
0,1,北京大学,4111010001,教育部,北京市,本科,公办,67
1,2,中国人民大学,4111010002,教育部,北京市,本科,公办,67
2,3,清华大学,4111010003,教育部,北京市,本科,公办,67
3,4,北京交通大学,4111010004,教育部,北京市,本科,公办,67
4,5,北京工业大学,4111010005,北京市,北京市,本科,公办,67
5,6,北京航空航天大学,4111010006,工业和信息化部,北京市,本科,公办,67
6,7,北京理工大学,4111010007,工业和信息化部,北京市,本科,公办,67
7,8,北京科技大学,4111010008,教育部,北京市,本科,公办,67
8,9,北方工业大学,4111010009,北京市,北京市,本科,公办,67
9,10,北京化工大学,4111010010,教育部,北京市,本科,公办,67
10,11,北京工商大学,4111010011,北京市,北京市,本科,公办,67
11,12,北京服装学院,4111010012,北京市,北京市,本科,公办,67
12,13,北京邮电大学,4111010013,教育部,北京市,本科,公办,67
13,14,北京印刷学院,4111010015,北京市,北京市,本科,公办,67
14,15,北京建筑大学,4111010016,北京市,北京市,本科,公办,67
15,16,北京石油化工学院,4111010017,北京市,北京市,本科,公办,67
16,17,北京电子科技学院,4111010018,中央办公厅,北京市,本科,公办,67
17,18,中国农业大学,4111010019,教育部,北京市,本科,公办,67
18,19,北京农学院,4111010020,北京市,北京市,本科,公办,67
19,20,北京林业大学,4111010022,教育部,北京市,本科,公办,67
20,21,北京协和医学院,4111010023,国家卫生健康委员会,北京市,本科,公办,67
21,22,首都医科大学,4111010025,北京市,北京市,本科,公办,67
22,23,北京中医药大学,4111010026,教育部,北京市,本科,公办,67
23,24,北京师范大学,4111010027,教育部,北京市,本科,公办,67
24,25,首都师范大学,4111010028,北京市,北京市,本科,公办,67
25,26,首都体育学院,4111010029,北京市,北京市,本科,公办,67
26,27,北京外国语大学,4111010030,教育部,北京市,本科,公办,67
27,28,北京第二外国语学院,4111010031,北京市,北京市,本科,公办,67
28,29,北京语言大学,4111010032,教育部,北京市,本科,公办,67
29,30,中国传媒大学,4111010033,教育部,北京市,本科,公办,67
30,31,中央财经大学,4111010034,教育部,北京市,本科,公办,67
31,32,对外经济贸易大学,4111010036,教育部,北京市,本科,公办,67
32,33,北京物资学院,4111010037,北京市,北京市,本科,公办,67
33,34,首都经济贸易大学,4111010038,北京市,北京市,本科,公办,67
34,35,中国消防救援学院,4111010039,应急管理部,北京市,本科,公办,67
35,36,外交学院,4111010040,外交部,北京市,本科,公办,67
36,37,中国人民公安大学,4111010041,公安部,北京市,本科,公办,67
37,38,国际关系学院,4111010042,教育部,北京市,本科,公办,67
38,39,北京体育大学,4111010043,国家体育总局,北京市,本科,公办,67
39,40,中央音乐学院,4111010045,教育部,北京市,本科,公办,67
40,41,中国音乐学院,4111010046,北京市,北京市,本科,公办,67
41,42,中央美术学院,4111010047,教育部,北京市,本科,公办,67
42,43,中央戏剧学院,4111010048,教育部,北京市,本科,公办,67
43,44,中国戏曲学院,4111010049,北京市,北京市,本科,公办,67
44,45,北京电影学院,4111010050,北京市,北京市,本科,公办,67
45,46,北京舞蹈学院,4111010051,北京市,北京市,本科,公办,67
46,47,中央民族大学,4111010052,国家民委,北京市,本科,公办,67
47,48,中国政法大学,4111010053,教育部,北京市,本科,公办,67
48,49,华北电力大学,4111010054,教育部,北京市,本科,公办,67
49,50,中华女子学院,4111011149,中华妇女联合会,北京市,本科,公办,67
50,51,北京信息科技大学,4111011232,北京市,北京市,本科,公办,67
51,52,中国矿业大学（北京）,4111011413,教育部,北京市,本科,公办,67
52,53,中国石油大学（北京）,4111011414,教育部,北京市,本科,公办,67
53,54,中国地质大学（北京）,4111011415,教育部,北京市,本科,公办,67
54,55,北京联合大学,4111011417,北京市,北京市,本科,公办,67
55,56,北京城市学院,4111011418,北京市教委,北京市,本科,民办,67
56,57,中国青年政治学院,4111011625,共青团中央,北京市,本科,公办,67
57,58,首钢工学院,4111011831,北京市,北京市,本科,公办,67
58,59,中国劳动关系学院,4111012453,中华全国总工会,北京市,本科,公办,67
59,60,首都师范大学科德学院,4111013629,北京市教委,北京市,本科,民办,67
60,61,北京工商大学嘉华学院,4111013630,北京市教委,北京市,本科,民办,67
61,62,北京邮电大学世纪学院,4111013901,北京市教委,北京市,本科,民办,67
62,63,北京工业大学耿丹学院,4111013904,北京市教委,北京市,本科,民办,67
63,64,北京警察学院,4111014019,北京市,北京市,本科,公办,67
64,65,北京第二外国语学院中瑞酒店管理学院,4111014201,北京市教委,北京市,本科,民办,67
65,66,中国科学院大学,4111014430,中国科学院,北京市,本科,公办,67
66,67,中国社会科学院大学,4111014596,中国社会科学院,北京市,本科,公办,67
67,93,南开大学,4112010055,教育部,天津市,本科,公办,31
68,94,天津大学,4112010056,教育部,天津市,本科,公办,31
69,95,天津科技大学,4112010057,天津市,天津市,本科,公办,31
70,96,天津工业大学,4112010058,天津市,天津市,本科,公办,31
71,97,中国民航大学,4112010059,交通运输部（中国民用航空局）,天津市,本科,公办,31
72,98,天津理工大学,4112010060,天津市,天津市,本科,公办,31
73,99,天津农学院,4112010061,天津市,天津市,本科,公办,31
74,100,天津医科大学,4112010062,天津市,天津市,本科,公办,31
75,101,天津中医药大学,4112010063,天津市,天津市,本科,公办,31
76,102,天津师范大学,4112010065,天津市,天津市,本科,公办,31
77,103,天津职业技术师范大学,4112010066,天津市,天津市,本科,公办,31
78,104,天津外国语大学,4112010068,天津市,天津市,本科,公办,31
79,105,天津商业大学,4112010069,天津市,天津市,本科,公办,31
80,106,天津财经大学,4112010070,天津市,天津市,本科,公办,31
81,107,天津体育学院,4112010071,天津市,天津市,本科,公办,31
82,108,天津音乐学院,4112010072,天津市,天津市,本科,公办,31
83,109,天津美术学院,4112010073,天津市,天津市,本科,公办,31
84,110,天津城建大学,4112010792,天津市,天津市,本科,公办,31
85,111,天津天狮学院,4112010859,天津市教委,天津市,本科,民办,31
86,112,天津中德应用技术大学,4112012105,天津市,天津市,本科,公办,31
87,113,天津外国语大学滨海外事学院,4112013658,天津市教委,天津市,本科,民办,31
88,114,天津传媒学院,4112013659,天津市教委,天津市,本科,民办,31
89,115,天津商业大学宝德学院,4112013660,天津市教委,天津市,本科,民办,31
90,116,天津医科大学临床医学院,4112013661,天津市教委,天津市,本科,民办,31
91,117,南开大学滨海学院,4112013663,天津市教委,天津市,本科,民办,31
92,118,天津师范大学津沽学院,4112013896,天津市教委,天津市,本科,民办,31
93,119,天津理工大学中环信息学院,4112013897,天津市教委,天津市,本科,民办,31
94,120,北京科技大学天津学院,4112013898,天津市教委,天津市,本科,民办,31
95,121,天津仁爱学院,4112014038,天津市教委,天津市,本科,民办,31
96,122,天津财经大学珠江学院,4112014087,天津市教委,天津市,本科,民办,31
97,149,河北大学,4113010075,河北省,保定市,本科,公办,9
98,150,河北工程大学,4113010076,河北省,邯郸市,本科,公办,3
99,151,河北地质大学,4113010077,河北省,石家庄市,本科,公办,19
100,152,河北工业大学,4113010080,河北省,天津市,本科,公办,31
101,153,华北理工大学,4113010081,河北省,唐山市,本科,公办,5
102,154,河北科技大学,4113010082,河北省,石家庄市,本科,公办,19
103,155,河北建筑工程学院,4113010084,河北省,张家口市,本科,公办,3
104,156,河北水利电力学院,4113010085,河北省,沧州市,本科,公办,3
105,157,河北农业大学,4113010086,河北省,保定市,本科,公办,9
106,158,河北医科大学,4113010089,河北省,石家庄市,本科,公办,19
107,159,河北北方学院,4113010092,河北省,张家口市,本科,公办,3
108,160,承德医学院,4113010093,河北省,承德市,本科,公办,3
109,161,河北师范大学,4113010094,河北省,石家庄市,本科,公办,19
110,162,保定学院,4113010096,河北省,保定市,本科,公办,9
111,163,河北民族师范学院,4113010098,河北省,承德市,本科,公办,3
112,164,唐山师范学院,4113010099,河北省,唐山市,本科,公办,5
113,165,廊坊师范学院,4113010100,河北省,廊坊市,本科,公办,8
114,166,衡水学院,4113010101,河北省,衡水市,本科,公办,1
115,167,石家庄学院,4113010102,河北省,石家庄市,本科,公办,19
116,168,邯郸学院,4113010103,河北省,邯郸市,本科,公办,3
117,169,邢台学院,4113010104,河北省,邢台市,本科,公办,2
118,170,沧州师范学院,4113010105,河北省,沧州市,本科,公办,3
119,171,石家庄铁道大学,4113010107,河北省,石家庄市,本科,公办,19
120,172,燕山大学,4113010216,河北省,秦皇岛市,本科,公办,4
121,173,河北科技师范学院,4113010798,河北省,秦皇岛市,本科,公办,4
