FID,num,序号,学校名,学校标,主管部,所在地,办学层,备注,campusName,uid,area,lngN,latN,面积,EXT_MIN_X,EXT_MIN_Y,EXT_MAX_X,EXT_MAX_Y,lngC,latC,x_min,x_max,dx,y_min,y_max,dy
0,2668,2137,海南热带海洋学院,4146011100.000000000000000,海南省,三亚市,本科,公办,海南热带海洋学院,dcf78353965ab0259a005049,吉阳区,109.530290300000004,18.312079059999999,39.4972992,109.526958972000003,18.309254568899998,109.533713906000003,18.315673850300001,109.530336438999996,18.312464209600002,105413,105416,3,58753,58750,3
1,2680,2142,三亚学院,4146013892.000000000000000,海南省教育厅,三亚市,本科,民办,三亚学院(北校区),88d672dcc14c33c995f08ca1,吉阳区,109.555490399999996,18.338578779999999,110.4359970,109.549839156000004,18.327974242100002,109.560495175000000,18.343368005199999,109.555167165000000,18.335671123699999,105421,105425,4,58746,58740,6
2,2667,2136,海南大学,4146010589.000000000000000,海南省,海口市,本科,公办,海南大学(观澜湖校区),ee1714739e75c24f047ce8d2,龙华区,110.332358400000004,19.923071910000001,49.5545006,110.329293891000006,19.918328675500000,110.336600551999993,19.925988578500000,110.332947222000001,19.922158627000002,105705,105708,3,58133,58130,3
3,2674,2140,海口经济学院,4146012308.000000000000000,海南省教育厅,海口市,本科,民办,海口经济学院,f81bb8f97ebe13c41b94c6a3,美兰区,110.484295799999998,19.966342480000002,87.2870026,110.478231719999997,19.960519854899999,110.490792322000004,19.970972521600000,110.484512021000000,19.965746188299999,105759,105764,5,58116,58112,4
4,2676,2141,琼台师范学院,4146013811.000000000000000,海南省,海口市,本科,公办,琼台师范学院(桂林洋校区),558afb5a781acf33210262a1,美兰区,110.512487600000000,19.976533289999999,68.8327026,110.507242270000006,19.971880071699999,110.517536879999994,19.980195619100002,110.512389575000000,19.976037845400000,105770,105774,4,58112,58109,3
5,2671,2139,海南医学院,4146011810.000000000000000,海南省,海口市,本科,公办,海南医学院(城西校区),8fa14fc3f165db6ef7eafc61,龙华区,110.329706700000003,19.984170010000000,31.0489998,110.327449451999996,19.979761524400001,110.332501467000000,19.987502294399999,110.329975458999996,19.983631909400000,105704,105706,2,58109,58106,3
6,2670,2138,海南师范大学,4146011658.000000000000000,海南省,海口市,本科,公办,海南师范大学(桂林洋校区),2ff04c304bd5a7c931870a8b,美兰区,110.510896000000002,19.984518540000000,93.7254028,110.502786129000000,19.974544823399999,110.513749309999994,19.989318477299999,110.508267719000003,19.981931650300002,105768,105772,4,58111,58105,6
7,2665,2136,海南大学,4146010589.000000000000000,海南省,海口市,本科,公办,海南大学(海甸校区),5c940559b6d54398d5b74efd,美兰区,110.324616899999995,20.058907130000001,132.2579956,110.315728918999994,20.053713907100001,110.334651972000003,20.063404712600001,110.325190445000004,20.058559309900001,105700,105707,7,58080,58077,3
8,2404,1896,广东海洋大学,4144010566.000000000000000,广东省,湛江市,本科,公办,广东海洋大学,15e1e85e462ad4a159109391,麻章区,110.296391999999997,21.153698580000000,139.7500000,110.290454870999994,21.147893323300000,110.303515680999993,21.161085492500000,110.296985276000001,21.154489407900002,105691,105696,5,57655,57650,5
9,2518,1935,湛江科技学院,4144012622.000000000000000,广东省教育厅,湛江市,本科,民办,湛江科技学院(新湖校区),efbf89f8d79dc57bcac3db63,麻章区,110.239887400000001,21.167268390000000,82.0418015,110.233154188000000,21.163151028100000,110.244585873999995,21.176252958799999,110.238870031000005,21.169701993400000,105670,105674,4,57649,57644,5
10,2433,1905,岭南师范学院,4144010579.000000000000000,广东省,湛江市,本科,公办,岭南师范学院(寸金校区),4b88f6f7a934f87d3617dc58,赤坎区,110.342355100000006,21.271980830000000,63.1996002,110.336375449000002,21.265173190700001,110.349282349999996,21.277393893300001,110.342828900000001,21.271283541999999,105708,105712,4,57609,57604,5
11,2486,1922,广东石油化工学院,4144011656.000000000000000,广东省,茂名市,本科,公办,广东石油化工学院,42679a8690141f062ab97c79,茂南区,110.918252899999999,21.682016800000000,30.7646008,110.915325156999998,21.678641748600000,110.920467446000004,21.685634047699999,110.917896302000003,21.682137898099999,105919,105920,1,57447,57444,3
12,2635,2071,北部湾大学,4145011607.000000000000000,广西壮族自治区,钦州市,本科,公办,北部湾大学,5c78e851c4dcb68e843304b4,钦南区,108.612340700000004,21.900884640000001,118.1200027,108.606540249000005,21.893825528699999,108.620195095000000,21.905529884400000,108.613367671999995,21.899677706599999,105078,105083,5,57363,57358,5
13,2532,1943,珠海科技学院,4144013684.000000000000000,广东省教育厅,珠海市,本科,民办,珠海科技学院,11aa09c5e3aa76f4f03cba38,金湾区,113.399750699999998,22.053023169999999,182.7449951,113.390956734000000,22.042398465600002,113.409332929000001,22.064132975300002,113.400144831999995,22.053265720399999,106820,106827,7,57304,57296,8
14,2530,1942,北京理工大学珠海学院,4144013675.000000000000000,广东省教育厅,珠海市,本科,民办,北京理工大学珠海学院,0e40ef3a52f36380bbbd6398,香洲区,113.535698199999999,22.367509550000001,200.5240021,113.520463696999997,22.360041194400001,113.546352858000006,22.372236253099999,113.533408277999996,22.366138723700001,106867,106876,9,57180,57175,5
15,2660,2087,广西城市职业大学,4145013920.000000000000000,广西壮族自治区教育厅,崇左市,本科,民办,广西城市职业大学(崇左校区),e77e0093dadaf3950aa8d409,江州区,107.391779799999995,22.369671250000000,69.5288010,107.386181023000006,22.365952136899999,107.396064546999995,22.374695141499998,107.391122784999993,22.370323639199999,104634,104637,3,57177,57174,3
16,2603,2061,广西民族师范学院,4145010604.000000000000000,广西壮族自治区,崇左市,本科,公办,广西民族师范学院,cad4e263cf597844d8d89132,江州区,107.391600400000002,22.385583730000000,69.5326996,107.387050298000005,22.382232424200001,107.396057448999997,22.389343782899999,107.391553873999996,22.385788103500001,104634,104637,3,57171,57168,3
17,2484,1921,电子科技大学中山学院,4144011545.000000000000000,广东省教育厅,中山市,本科,民办,电子科技大学中山学院,4cbbf2cb5dac54a1c26c143e, ,113.385054600000004,22.530082470000000,39.3858986,113.380866061000006,22.526444879900001,113.389126371000003,22.533609644300000,113.384996216000005,22.530027262099999,106816,106819,3,57114,57111,3
18,2455,1912,深圳大学,4144010590.000000000000000,广东省,深圳市,本科,公办,深圳大学(粤海校区),410fd097f30195a083a00c3f,南山区,113.931206799999998,22.535245230000001,140.4160004,113.924704769000002,22.528234262100000,113.938253626000005,22.542404680000001,113.931479198000005,22.535319471099999,107014,107019,5,57113,57108,5
19,2661,2087,广西城市职业大学,4145013920.000000000000000,广西壮族自治区教育厅,崇左市,本科,民办,广西城市职业大学(空港校区),d0022d9a536965367ab55c56,扶绥县,107.920057499999999,22.591073219999998,33.2846985,107.914596789000001,22.587736352000000,107.922271593000005,22.594101879099998,107.918434191000003,22.590919115599998,104826,104829,3,57090,57087,3
20,2475,1919,五邑大学,4144011349.000000000000000,广东省,江门市,本科,公办,五邑大学,61c819c4463eef77c03644d3,蓬江区,113.079286100000004,22.600453989999998,56.4491005,113.075957911000003,22.591856026700000,113.084609181999994,22.604156556700001,113.080283546000004,22.598006291699999,106705,106708,3,57088,57083,5
21,2456,1912,深圳大学,4144010590.000000000000000,广东省,深圳市,本科,公办,深圳大学(丽湖校区),3bb662cc6d6515c0fda77821,南山区,113.988116500000004,22.599351020000000,59.2267990,113.981902743000006,22.595099563300000,113.991558089999998,22.606002701400001,113.986730416000000,22.600551132300001,107035,107039,4,57087,57083,4
22,2556,1952,南方科技大学,4144014325.000000000000000,广东省,深圳市,本科,公办,南方科技大学,72b66886812878a6a11de9b0,南山区,113.994478400000006,22.600476550000000,113.7139969,113.989894117999995,22.594948885299999,114.000635303999999,22.611886998999999,113.995264711000004,22.603417942099998,107038,107042,4,57087,57080,7
23,2609,2063,玉林师范学院,4145010606.000000000000000,广西壮族自治区,玉林市,本科,公办,玉林师范学院(东校区),41572e002efda3b7b55f1ebd,玉州区,110.191601599999998,22.681126370000001,94.5345993,110.182086514000005,22.673859095200001,110.197807327000007,22.687343173700000,110.189946921000001,22.680601134500002,105652,105657,5,57056,57051,5
24,2633,2070,南宁学院,4145011549.000000000000000,广西壮族自治区教育厅,南宁市,本科,民办,南宁学院,8e3949ba741582c8ebe5821a,邕宁区,108.449097699999996,22.752605760000002,62.8773994,108.444595293999996,22.747599159600000,108.453620968999999,22.756767623799998,108.449108131000003,22.752183391700001,105019,105022,3,57027,57023,4
25,2582,2055,广西医科大学,4145010598.000000000000000,广西壮族自治区,南宁市,本科,公办,广西医科大学,5c2dc21d47f1be076ec02c89,青秀区,108.346823499999999,22.799892839999998,38.6785011,108.342531825999998,22.796421020400000,108.351187394999997,22.803945641700000,108.346859609999996,22.800183331100001,104982,104985,3,57008,57005,3
26,2588,2057,广西中医药大学,4145010600.000000000000000,广西壮族自治区,南宁市,本科,公办,广西中医药大学(仙葫校区),65db9558d53604f0a3acc4b0,青秀区,108.500011599999993,22.802141299999999,44.7929993,108.495152394000002,22.797275246800002,108.503081080000001,22.806795966799999,108.499116736999994,22.802035606800001,105037,105040,3,57007,57003,4
