FID,num,uni_num,序号,学校名,学校标,主管部,所在地,办学层,备注,campusName,uid,area,lngN,latN,面积
0,996,1030,2001,茂名职业技术学院,4144013712.000000000000000,广东省,茂名市,专科, ,茂名职业技术学院(南校区),a7ac2dcc8a28331aa9175a6c,电白区,110.973409168000003,21.469424387600000,37.7897987
1,1010,1126,2135,崇左幼儿师范高等专科学校,4245051675.000000000000000,广西壮族自治区,崇左市,专科, ,崇左幼儿师范高等专科学校,fb848efa00490aab9403193c,江州区,107.397904221999994,22.387370095300000,36.7439995
2,990,987,1958,顺德职业技术学院,4144010831.000000000000000,广东省,佛山市,专科, ,顺德职业技术学院,0a15c7ecf464c9ffed74f853,顺德区,113.319032402999994,22.812440740100001,119.9830017
3,1008,1121,2130,广西物流职业技术学院,4145014723.000000000000000,广西壮族自治区,贵港市,专科, ,广西物流职业技术学院,27cce4e361839e3e5cbe86e6,港北区,109.545456075999994,23.048207927499998,50.5812988
4,1002,1054,2025,广东环境保护工程职业学院,4144014311.000000000000000,广东省,佛山市,专科, ,广东环境保护工程职业学院,bba87388e74c45debca8222e,南海区,112.904981939999999,23.050944340200001,30.2877007
5,1007,1104,2113,广西工程职业学院,4145014127.000000000000000,广西壮族自治区教育厅,百色市,专科,民办,广西工程职业学院,f1ecf09129e91e1de01103a7,平果市,107.601231217999995,23.317584020200002,46.7067986
6,824,595,1207,漳州科技职业学院,4135014113.000000000000000,福建省教育厅,漳州市,专科,民办,漳州科技职业学院,9ee5a929741be0e5c72ba114,漳浦县,117.531718494000003,24.079396228000000,41.8988991
7,1005,1092,2101,柳州铁道职业技术学院,4145012392.000000000000000,广西壮族自治区,柳州市,专科, ,柳州铁道职业技术学院,e81dbc05bbf97d7b901fc998,鱼峰区,109.529145013000004,24.398874369300000,49.3879013
8,814,584,1196,厦门城市职业学院,4135013973.000000000000000,福建省,厦门市,专科, ,厦门城市职业学院,691305231574820a735e80ae,思明区,118.161478376999995,24.465639115300000,32.7901001
9,825,598,1210,漳州卫生职业学院,4135014117.000000000000000,福建省,漳州市,专科, ,漳州卫生职业学院,50fb64ff7962e95de9f8531d,芗城区,117.628885009000001,24.530729219800001,31.7497997
10,788,566,1178,厦门海洋职业技术学院,4135012629.000000000000000,福建省,厦门市,专科, ,厦门海洋职业技术学院(翔安校区),968298d8aeb515b9c61e518f,翔安区,118.251378286000005,24.595320220600001,39.7159996
11,822,593,1205,厦门南洋职业学院,4135014111.000000000000000,福建省教育厅,厦门市,专科,民办,厦门南洋职业学院,3ccd35af7705910d13293516,翔安区,118.248215303999999,24.603789431500001,38.2125015
12,1023,1310,2467,昆明冶金高等专科学校,4153011557.000000000000000,云南省,昆明市,专科, ,昆明冶金高等专科学校,bebc08b4ab0c84b2e115f928,安宁市,102.439866993999999,24.885446934899999,59.8824997
13,793,572,1184,泉州华光职业学院,4135012927.000000000000000,福建省教育厅,泉州市,专科,民办,泉州华光职业学院(北区),e420b3d044aa5784a8f729f9,惠安县,118.698615590000003,24.967842597600001,35.6698990
14,1026,1330,2487,保山中医药高等专科学校,4153014014.000000000000000,云南省,保山市,专科, ,保山中医药高等专科学校,f526e530f40b6c295a3ac88e,隆阳区,99.223294093700005,25.087025439300000,29.5851002
15,808,580,1192,湄洲湾职业技术学院,4135013772.000000000000000,福建省,莆田市,专科, ,湄洲湾职业技术学院(梧塘校区),7ef85129f87436d716c9056a,涵江区,119.084966613999995,25.500606287400000,55.7896004
16,848,622,1279,江西应用技术职业学院,4136012942.000000000000000,江西省,赣州市,专科, ,江西应用技术职业学院(黄金校区),17009d98c353ecee1894c6f1,章贡区,114.888785365999993,25.805710404399999,50.7747002
17,838,616,1273,江西环境工程职业学院,4136012934.000000000000000,江西省,赣州市,专科, ,江西环境工程职业学院(东江源校区),ada07f48ac1607b2c51b759c,章贡区,114.909883215999997,25.887143356300001,35.7028999
18,819,588,1200,福州软件职业技术学院,4135013978.000000000000000,福建省教育厅,福州市,专科,民办,福州软件职业技术学院(长乐校区),102eecc1f6956e7135b06c45,长乐区,119.698480423999996,25.972259115800000,35.9962006
