FID,num,uni_num,序号,学校名,学校标,主管部,所在地,办学层,备注,campusName,uid,area,lngN,latN,面积
0,2668,975,2137,海南热带海洋学院,4146011100.000000000000000,海南省,三亚市,本科,公办,海南热带海洋学院,dcf78353965ab0259a005049,吉阳区,109.530290300000004,18.312079059999999,39.4972992
1,2680,980,2142,三亚学院,4146013892.000000000000000,海南省教育厅,三亚市,本科,民办,三亚学院(北校区),88d672dcc14c33c995f08ca1,吉阳区,109.555490399999996,18.338578779999999,110.4359970
2,2667,974,2136,海南大学,4146010589.000000000000000,海南省,海口市,本科,公办,海南大学(观澜湖校区),ee1714739e75c24f047ce8d2,龙华区,110.332358400000004,19.923071910000001,49.5545006
3,2674,978,2140,海口经济学院,4146012308.000000000000000,海南省教育厅,海口市,本科,民办,海口经济学院,f81bb8f97ebe13c41b94c6a3,美兰区,110.484295799999998,19.966342480000002,87.2870026
4,2676,979,2141,琼台师范学院,4146013811.000000000000000,海南省,海口市,本科,公办,琼台师范学院(桂林洋校区),558afb5a781acf33210262a1,美兰区,110.512487600000000,19.976533289999999,68.8327026
5,2671,977,2139,海南医学院,4146011810.000000000000000,海南省,海口市,本科,公办,海南医学院(城西校区),8fa14fc3f165db6ef7eafc61,龙华区,110.329706700000003,19.984170010000000,31.0489998
6,2670,976,2138,海南师范大学,4146011658.000000000000000,海南省,海口市,本科,公办,海南师范大学(桂林洋校区),2ff04c304bd5a7c931870a8b,美兰区,110.510896000000002,19.984518540000000,93.7254028
7,2665,974,2136,海南大学,4146010589.000000000000000,海南省,海口市,本科,公办,海南大学(海甸校区),5c940559b6d54398d5b74efd,美兰区,110.324616899999995,20.058907130000001,132.2579956
8,2404,874,1896,广东海洋大学,4144010566.000000000000000,广东省,湛江市,本科,公办,广东海洋大学,15e1e85e462ad4a159109391,麻章区,110.296391999999997,21.153698580000000,139.7500000
9,2518,913,1935,湛江科技学院,4144012622.000000000000000,广东省教育厅,湛江市,本科,民办,湛江科技学院(新湖校区),efbf89f8d79dc57bcac3db63,麻章区,110.239887400000001,21.167268390000000,82.0418015
10,2433,883,1905,岭南师范学院,4144010579.000000000000000,广东省,湛江市,本科,公办,岭南师范学院(寸金校区),4b88f6f7a934f87d3617dc58,赤坎区,110.342355100000006,21.271980830000000,63.1996002
11,2486,900,1922,广东石油化工学院,4144011656.000000000000000,广东省,茂名市,本科,公办,广东石油化工学院,42679a8690141f062ab97c79,茂南区,110.918252899999999,21.682016800000000,30.7646008
12,2635,956,2071,北部湾大学,4145011607.000000000000000,广西壮族自治区,钦州市,本科,公办,北部湾大学,5c78e851c4dcb68e843304b4,钦南区,108.612340700000004,21.900884640000001,118.1200027
13,2532,921,1943,珠海科技学院,4144013684.000000000000000,广东省教育厅,珠海市,本科,民办,珠海科技学院,11aa09c5e3aa76f4f03cba38,金湾区,113.399750699999998,22.053023169999999,182.7449951
14,2530,920,1942,北京理工大学珠海学院,4144013675.000000000000000,广东省教育厅,珠海市,本科,民办,北京理工大学珠海学院,0e40ef3a52f36380bbbd6398,香洲区,113.535698199999999,22.367509550000001,200.5240021
15,2660,972,2087,广西城市职业大学,4145013920.000000000000000,广西壮族自治区教育厅,崇左市,本科,民办,广西城市职业大学(崇左校区),e77e0093dadaf3950aa8d409,江州区,107.391779799999995,22.369671250000000,69.5288010
16,2603,946,2061,广西民族师范学院,4145010604.000000000000000,广西壮族自治区,崇左市,本科,公办,广西民族师范学院,cad4e263cf597844d8d89132,江州区,107.391600400000002,22.385583730000000,69.5326996
17,2484,899,1921,电子科技大学中山学院,4144011545.000000000000000,广东省教育厅,中山市,本科,民办,电子科技大学中山学院,4cbbf2cb5dac54a1c26c143e, ,113.385054600000004,22.530082470000000,39.3858986
18,2455,890,1912,深圳大学,4144010590.000000000000000,广东省,深圳市,本科,公办,深圳大学(粤海校区),410fd097f30195a083a00c3f,南山区,113.931206799999998,22.535245230000001,140.4160004
19,2661,972,2087,广西城市职业大学,4145013920.000000000000000,广西壮族自治区教育厅,崇左市,本科,民办,广西城市职业大学(空港校区),d0022d9a536965367ab55c56,扶绥县,107.920057499999999,22.591073219999998,33.2846985
20,2475,897,1919,五邑大学,4144011349.000000000000000,广东省,江门市,本科,公办,五邑大学,61c819c4463eef77c03644d3,蓬江区,113.079286100000004,22.600453989999998,56.4491005
21,2456,890,1912,深圳大学,4144010590.000000000000000,广东省,深圳市,本科,公办,深圳大学(丽湖校区),3bb662cc6d6515c0fda77821,南山区,113.988116500000004,22.599351020000000,59.2267990
22,2556,930,1952,南方科技大学,4144014325.000000000000000,广东省,深圳市,本科,公办,南方科技大学,72b66886812878a6a11de9b0,南山区,113.994478400000006,22.600476550000000,113.7139969
23,2609,948,2063,玉林师范学院,4145010606.000000000000000,广西壮族自治区,玉林市,本科,公办,玉林师范学院(东校区),41572e002efda3b7b55f1ebd,玉州区,110.191601599999998,22.681126370000001,94.5345993
24,2633,955,2070,南宁学院,4145011549.000000000000000,广西壮族自治区教育厅,南宁市,本科,民办,南宁学院,8e3949ba741582c8ebe5821a,邕宁区,108.449097699999996,22.752605760000002,62.8773994
25,2582,940,2055,广西医科大学,4145010598.000000000000000,广西壮族自治区,南宁市,本科,公办,广西医科大学,5c2dc21d47f1be076ec02c89,青秀区,108.346823499999999,22.799892839999998,38.6785011
26,2588,942,2057,广西中医药大学,4145010600.000000000000000,广西壮族自治区,南宁市,本科,公办,广西中医药大学(仙葫校区),65db9558d53604f0a3acc4b0,青秀区,108.500011599999993,22.802141299999999,44.7929993
27,2658,970,2085,广西外国语学院,4145013830.000000000000000,广西壮族自治区教育厅,南宁市,本科,民办,广西外国语学院,2f27f5321f6e9215f6c59c8f,青秀区,108.512159699999998,22.803215850000001,41.6086998
28,2599,945,2060,南宁师范大学,4145010603.000000000000000,广西壮族自治区,南宁市,本科,公办,南宁师范大学(五合校区),eff69be0e555cd6b4f3a5996,青秀区,108.522565999999998,22.808259880000001,54.7776985
29,2631,954,2069,广西财经学院,4145011548.000000000000000,广西壮族自治区,南宁市,本科,公办,广西财经学院(相思湖校区),410042ed6dcfaf0f5e0d023d,西乡塘区,108.177846000000002,22.830111639999998,37.9738998
